Data,Dia_da_Semana,Produto,Preco,Quantidade
2025-01-01,Wednesday,Produto A,20.0,5
2025-01-01,Wednesday,Produto B,35.0,4
2025-01-01,Wednesday,Produto C,50.0,4
2025-01-01,Wednesday,Produto D,15.0,5
2025-01-02,Thursday,Produto A,20.0,5
2025-01-02,Thursday,Produto B,35.0,3
2025-01-02,Thursday,Produto C,50.0,5
2025-01-02,Thursday,Produto D,15.0,4
2025-01-03,Friday,Produto A,20.0,6
2025-01-03,Friday,Produto B,35.0,7
2025-01-03,Friday,Produto C,50.0,2
2025-01-03,Friday,Produto D,15.0,5
2025-01-04,Saturday,Produto A,20.0,13
2025-01-04,Saturday,Produto B,35.0,7
2025-01-04,Saturday,Produto C,50.0,13
2025-01-04,Saturday,Produto D,15.0,12
2025-01-05,Sunday,Produto A,20.0,4
2025-01-05,Sunday,Produto B,35.0,11
2025-01-05,Sunday,Produto C,50.0,4
2025-01-05,Sunday,Produto D,15.0,8
2025-01-06,Monday,Produto A,20.0,8
2025-01-06,Monday,Produto B,35.0,2
2025-01-06,Monday,Produto C,50.0,1
2025-01-06,Monday,Produto D,15.0,7
2025-01-07,Tuesday,Produto A,20.0,2
2025-01-07,Tuesday,Produto B,35.0,11
2025-01-07,Tuesday,Produto C,50.0,4
2025-01-07,Tuesday,Produto D,15.0,3
2025-01-08,Wednesday,Produto A,20.0,8
2025-01-08,Wednesday,Produto B,35.0,3
2025-01-08,Wednesday,Produto C,50.0,3
2025-01-08,Wednesday,Produto D,15.0,5
2025-01-09,Thursday,Produto A,20.0,8
2025-01-09,Thursday,Produto B,35.0,3
2025-01-09,Thursday,Produto C,50.0,2
2025-01-09,Thursday,Produto D,15.0,5
2025-01-10,Friday,Produto A,20.0,3
2025-01-10,Friday,Produto B,35.0,8
2025-01-10,Friday,Produto C,50.0,10
2025-01-10,Friday,Produto D,15.0,3
2025-01-11,Saturday,Produto A,20.0,5
2025-01-11,Saturday,Produto B,35.0,10
2025-01-11,Saturday,Produto C,50.0,11
2025-01-11,Saturday,Produto D,15.0,12
2025-01-12,Sunday,Produto A,20.0,8
2025-01-12,Sunday,Produto B,35.0,11
2025-01-12,Sunday,Produto C,50.0,11
2025-01-12,Sunday,Produto D,15.0,5
2025-01-13,Monday,Produto A,20.0,7
2025-01-13,Monday,Produto B,35.0,5
2025-01-13,Monday,Produto C,50.0,6
2025-01-13,Monday,Produto D,15.0,9
2025-01-14,Tuesday,Produto A,20.0,7
2025-01-14,Tuesday,Produto B,35.0,11
2025-01-14,Tuesday,Produto C,50.0,8
2025-01-14,Tuesday,Produto D,15.0,3
2025-01-15,Wednesday,Produto A,20.0,2
2025-01-15,Wednesday,Produto B,35.0,3
2025-01-15,Wednesday,Produto C,50.0,4
2025-01-15,Wednesday,Produto D,15.0,5
2025-01-16,Thursday,Produto A,20.0,5
2025-01-16,Thursday,Produto B,35.0,4
2025-01-16,Thursday,Produto C,50.0,3
2025-01-16,Thursday,Produto D,15.0,8
2025-01-17,Friday,Produto A,20.0,2
2025-01-17,Friday,Produto B,35.0,1
2025-01-17,Friday,Produto C,50.0,4
2025-01-17,Friday,Produto D,15.0,5
2025-01-18,Saturday,Produto A,20.0,11
2025-01-18,Saturday,Produto B,35.0,9
2025-01-18,Saturday,Produto C,50.0,10
2025-01-18,Saturday,Produto D,15.0,11
2025-01-19,Sunday,Produto A,20.0,16
2025-01-19,Sunday,Produto B,35.0,9
2025-01-19,Sunday,Produto C,50.0,10
2025-01-19,Sunday,Produto D,15.0,16
2025-01-20,Monday,Produto A,20.0,4
2025-01-20,Monday,Produto B,35.0,1
2025-01-20,Monday,Produto C,50.0,4
2025-01-20,Monday,Produto D,15.0,7
2025-01-21,Tuesday,Produto A,20.0,6
2025-01-21,Tuesday,Produto B,35.0,7
2025-01-21,Tuesday,Produto C,50.0,6
2025-01-21,Tuesday,Produto D,15.0,7
2025-01-22,Wednesday,Produto A,20.0,6
2025-01-22,Wednesday,Produto B,35.0,4
2025-01-22,Wednesday,Produto C,50.0,2
2025-01-22,Wednesday,Produto D,15.0,3
2025-01-23,Thursday,Produto A,20.0,4
2025-01-23,Thursday,Produto B,35.0,7
2025-01-23,Thursday,Produto C,50.0,4
2025-01-23,Thursday,Produto D,15.0,3
2025-01-24,Friday,Produto A,20.0,2
2025-01-24,Friday,Produto B,35.0,6
2025-01-24,Friday,Produto C,50.0,3
2025-01-24,Friday,Produto D,15.0,5
2025-01-25,Saturday,Produto A,20.0,10
2025-01-25,Saturday,Produto B,35.0,12
2025-01-25,Saturday,Produto C,50.0,11
2025-01-25,Saturday,Produto D,15.0,15
2025-01-26,Sunday,Produto A,20.0,15
2025-01-26,Sunday,Produto B,35.0,11
2025-01-26,Sunday,Produto C,50.0,7
2025-01-26,Sunday,Produto D,15.0,8
2025-01-27,Monday,Produto A,20.0,7
2025-01-27,Monday,Produto B,35.0,9
2025-01-27,Monday,Produto C,50.0,4
2025-01-27,Monday,Produto D,15.0,8
2025-01-28,Tuesday,Produto A,20.0,10
2025-01-28,Tuesday,Produto B,35.0,6
2025-01-28,Tuesday,Produto C,50.0,9
2025-01-28,Tuesday,Produto D,15.0,4
2025-01-29,Wednesday,Produto A,20.0,1
2025-01-29,Wednesday,Produto B,35.0,6
2025-01-29,Wednesday,Produto C,50.0,8
2025-01-29,Wednesday,Produto D,15.0,6
2025-01-30,Thursday,Produto A,20.0,2
2025-01-30,Thursday,Produto B,35.0,3
2025-01-30,Thursday,Produto C,50.0,5
2025-01-30,Thursday,Produto D,15.0,3
2025-01-31,Friday,Produto A,20.0,3
2025-01-31,Friday,Produto B,35.0,5
2025-01-31,Friday,Produto C,50.0,6
2025-01-31,Friday,Produto D,15.0,5
2025-02-01,Saturday,Produto A,20.0,12
2025-02-01,Saturday,Produto B,35.0,7
2025-02-01,Saturday,Produto C,50.0,15
2025-02-01,Saturday,Produto D,15.0,10
2025-02-02,Sunday,Produto A,20.0,9
2025-02-02,Sunday,Produto B,35.0,7
2025-02-02,Sunday,Produto C,50.0,9
2025-02-02,Sunday,Produto D,15.0,8
2025-02-03,Monday,Produto A,20.0,6
2025-02-03,Monday,Produto B,35.0,5
2025-02-03,Monday,Produto C,50.0,7
2025-02-03,Monday,Produto D,15.0,2
2025-02-04,Tuesday,Produto A,20.0,3
2025-02-04,Tuesday,Produto B,35.0,5
2025-02-04,Tuesday,Produto C,50.0,8
2025-02-04,Tuesday,Produto D,15.0,5
2025-02-05,Wednesday,Produto A,20.0,4
2025-02-05,Wednesday,Produto B,35.0,4
2025-02-05,Wednesday,Produto C,50.0,2
2025-02-05,Wednesday,Produto D,15.0,8
2025-02-06,Thursday,Produto A,20.0,7
2025-02-06,Thursday,Produto B,35.0,4
2025-02-06,Thursday,Produto C,50.0,3
2025-02-06,Thursday,Produto D,15.0,8
2025-02-07,Friday,Produto A,20.0,6
2025-02-07,Friday,Produto B,35.0,7
2025-02-07,Friday,Produto C,50.0,7
2025-02-07,Friday,Produto D,15.0,5
2025-02-08,Saturday,Produto A,20.0,13
2025-02-08,Saturday,Produto B,35.0,14
2025-02-08,Saturday,Produto C,50.0,9
2025-02-08,Saturday,Produto D,15.0,6
2025-02-09,Sunday,Produto A,20.0,12
2025-02-09,Sunday,Produto B,35.0,11
2025-02-09,Sunday,Produto C,50.0,10
2025-02-09,Sunday,Produto D,15.0,8
2025-02-10,Monday,Produto A,20.0,7
2025-02-10,Monday,Produto B,35.0,4
2025-02-10,Monday,Produto C,50.0,9
2025-02-10,Monday,Produto D,15.0,4
2025-02-11,Tuesday,Produto A,20.0,5
2025-02-11,Tuesday,Produto B,35.0,2
2025-02-11,Tuesday,Produto C,50.0,6
2025-02-11,Tuesday,Produto D,15.0,3
2025-02-12,Wednesday,Produto A,20.0,6
2025-02-12,Wednesday,Produto B,35.0,2
2025-02-12,Wednesday,Produto C,50.0,3
2025-02-12,Wednesday,Produto D,15.0,5
2025-02-13,Thursday,Produto A,20.0,3
2025-02-13,Thursday,Produto B,35.0,4
2025-02-13,Thursday,Produto C,50.0,5
2025-02-13,Thursday,Produto D,15.0,6
2025-02-14,Friday,Produto A,20.0,3
2025-02-14,Friday,Produto B,35.0,3
2025-02-14,Friday,Produto C,50.0,4
2025-02-14,Friday,Produto D,15.0,5
2025-02-15,Saturday,Produto A,20.0,12
2025-02-15,Saturday,Produto B,35.0,8
2025-02-15,Saturday,Produto C,50.0,7
2025-02-15,Saturday,Produto D,15.0,7
2025-02-16,Sunday,Produto A,20.0,9
2025-02-16,Sunday,Produto B,35.0,13
2025-02-16,Sunday,Produto C,50.0,7
2025-02-16,Sunday,Produto D,15.0,11
2025-02-17,Monday,Produto A,20.0,7
2025-02-17,Monday,Produto B,35.0,5
2025-02-17,Monday,Produto C,50.0,4
2025-02-17,Monday,Produto D,15.0,5
2025-02-18,Tuesday,Produto A,20.0,5
2025-02-18,Tuesday,Produto B,35.0,2
2025-02-18,Tuesday,Produto C,50.0,6
2025-02-18,Tuesday,Produto D,15.0,4
2025-02-19,Wednesday,Produto A,20.0,3
2025-02-19,Wednesday,Produto B,35.0,5
2025-02-19,Wednesday,Produto C,50.0,6
2025-02-19,Wednesday,Produto D,15.0,3
2025-02-20,Thursday,Produto A,20.0,4
2025-02-20,Thursday,Produto B,35.0,8
2025-02-20,Thursday,Produto C,50.0,4
2025-02-20,Thursday,Produto D,15.0,10
2025-02-21,Friday,Produto A,20.0,4
2025-02-21,Friday,Produto B,35.0,5
2025-02-21,Friday,Produto C,50.0,10
2025-02-21,Friday,Produto D,15.0,3
2025-02-22,Saturday,Produto A,20.0,12
2025-02-22,Saturday,Produto B,35.0,12
2025-02-22,Saturday,Produto C,50.0,8
2025-02-22,Saturday,Produto D,15.0,13
2025-02-23,Sunday,Produto A,20.0,11
2025-02-23,Sunday,Produto B,35.0,8
2025-02-23,Sunday,Produto C,50.0,9
2025-02-23,Sunday,Produto D,15.0,9
2025-02-24,Monday,Produto A,20.0,4
2025-02-24,Monday,Produto B,35.0,2
2025-02-24,Monday,Produto C,50.0,3
2025-02-24,Monday,Produto D,15.0,5
2025-02-25,Tuesday,Produto A,20.0,8
2025-02-25,Tuesday,Produto B,35.0,4
2025-02-25,Tuesday,Produto C,50.0,3
2025-02-25,Tuesday,Produto D,15.0,8
2025-02-26,Wednesday,Produto A,20.0,6
